id,lat,lon,user,uid,version,changeset,timestamp
26701259,52.5214424,13.3894515,anbr,43566,6,34376083,2015-10-01T19:36:40Z
26701262,52.5220339,13.3893435,anbr,43566,4,34376083,2015-10-01T19:36:40Z
26708008,52.5139647,13.3821056,Bot45715,111462,6,14121248,2012-12-02T08:56:16Z
26724216,52.5198178,13.3883385,sladen,12671,13,11739727,2012-05-29T16:19:42Z
26724434,52.5194003,13.3735121,Berliner Igel,447997,22,8628488,2011-07-04T11:37:31Z
26734234,52.5207486,13.3735197,Berliner Igel,447997,12,8628488,2011-07-04T11:37:32Z
26734305,52.51957,13.3735121,Berliner Igel,447997,17,8628488,2011-07-04T11:37:32Z
26747821,52.5232572,13.3837929,wasat,5453,32,9412367,2011-09-27T16:56:20Z
26747878,52.5209987,13.3852878,Pfad-Finder,222568,7,10894914,2012-03-06T22:16:12Z
26747879,52.5222714,13.3844311,wasat,5453,6,9421356,2011-09-28T17:41:09Z
26747880,52.5216964,13.3797938,glibbertorsten,1879543,12,44573774,2016-12-21T20:13:26Z
26747882,52.5197492,13.3801537,MorbZ,42705,10,40325679,2016-06-27T16:52:36Z
26747918,52.5240937,13.3831718,wasat,5453,10,9383268,2011-09-24T11:18:02Z
26861434,52.518906,13.3802953,anbr,43566,9,34376083,2015-10-01T19:36:40Z
26872012,52.5209188,13.3770399,anbr,43566,6,21652252,2014-04-12T19:26:11Z
26872013,52.5209162,13.3799409,Bot45715,111462,12,15745197,2013-04-16T05:59:39Z
26933312,52.5196898,13.3779935,Bot45715,111462,9,14128246,2012-12-02T17:42:32Z
26933318,52.5195152,13.3801732,anbr,43566,15,30313476,2015-04-18T18:43:45Z
26934085,52.5200994,13.3851922,wicking,102755,4,7808412,2011-04-08T21:27:52Z
27005148,52.5173726,13.3926306,anbr,43566,10,29185491,2015-03-01T20:34:39Z
27410573,52.5230571,13.3722127,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:42Z
27410580,52.5228991,13.3735194,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:42Z
27410587,52.5225858,13.3745065,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:42Z
27410594,52.522231,13.3752777,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:42Z
27410595,52.5216278,13.3760536,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:42Z
27410596,52.5211641,13.3763198,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:42Z
27410597,52.5203329,13.3765316,Krille von Stralau,597190,7,33936215,2015-09-10T15:17:43Z
27410598,52.5198112,13.3770764,Krille von Stralau,597190,7,33936215,2015-09-10T15:17:43Z
27410599,52.5193604,13.3782498,Krille von Stralau,597190,7,33936215,2015-09-10T15:17:43Z
27410600,52.519178,13.3795705,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410620,52.5192171,13.380815,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410621,52.5194913,13.3822098,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410624,52.5201834,13.3844628,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410626,52.5204315,13.3850207,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410628,52.5209538,13.3859434,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410630,52.521507,13.3869355,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:43Z
27410631,52.5222072,13.3883252,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410633,52.5223377,13.3894839,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410634,52.5224565,13.3911731,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:43Z
27410645,52.5216277,13.3980572,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:43Z
27410646,52.5211411,13.3996217,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:43Z
27410648,52.5207057,13.4002128,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410650,52.5200966,13.4009832,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:43Z
27410655,52.5184891,13.4026181,mapper999,165061,6,39957112,2016-06-11T17:33:28Z
